Date,Short Volume,Total Volume
2011-07-22,61860.0,87676.0
2011-07-25,44529.0,70176.0
2011-07-26,24056.0,41185.0
2011-07-27,34473.0,43801.0
2011-07-28,47282.0,71277.0
2011-07-29,44028.0,70776.0
2011-08-01,81391.0,152009.0
2011-08-02,78482.0,128887.0
2011-08-03,84901.0,165218.0
2011-08-04,163681.0,256005.0
2011-08-05,86063.0,179839.0
2011-08-08,141808.0,238169.0
2011-08-09,66884.0,111608.0
2011-08-10,61445.0,116259.0
2011-08-11,54934.0,85664.0
2011-08-12,42408.0,79611.0
2011-08-15,40728.0,77036.0
2011-08-16,23642.0,40395.0
2011-08-17,27469.0,68211.0
2011-08-18,107163.0,155776.0
2011-08-19,70672.0,134698.0
2011-08-22,48153.0,103384.0
2011-08-23,83215.0,113893.0
2011-08-24,52097.0,103584.0
2011-08-25,66602.0,106287.0
2011-08-26,36459.0,68559.0
2011-08-29,54544.0,78714.0
2011-08-30,47154.0,58175.0
2011-08-31,85869.0,98297.0
2011-09-01,99093.0,125213.0
2011-09-02,50167.0,90696.0
2011-09-06,47127.0,76828.0
2011-09-07,32141.0,47791.0
2011-09-08,28127.0,38487.0
2011-09-09,32389.0,39489.0
2011-09-12,33686.0,46751.0
2011-09-13,43708.0,79543.0
2011-09-14,41778.0,74144.0
2011-09-15,41105.0,72137.0
2011-09-16,80577.0,129925.0
2011-09-19,79400.0,126378.0
2011-09-20,51178.0,89003.0
2011-09-21,78697.0,105614.0
2011-09-22,59146.0,85297.0
2011-09-23,68078.0,114480.0
2011-09-26,63108.0,111468.0
2011-09-27,28899.0,66902.0
2011-09-28,46779.0,77314.0
2011-09-29,50115.0,68754.0
2011-09-30,65183.0,89779.0
2011-10-03,73794.0,87485.0
2011-10-04,73388.0,112680.0
2011-10-05,70245.0,118936.0
2011-10-06,111357.0,172892.0
2011-10-07,63495.0,112614.0
2011-10-10,61774.0,99528.0
2011-10-11,19305.0,45409.0
2011-10-12,43345.0,100418.0
2011-10-13,30221.0,56334.0
2011-10-14,66966.0,131635.0
2011-10-17,31571.0,48105.0
2011-10-18,41800.0,75519.0
2011-10-19,26190.0,56596.0
2011-10-20,52109.0,69617.0
2011-10-21,74384.0,98566.0
2011-10-24,33173.0,62285.0
2011-10-25,33476.0,51710.0
2011-10-26,20905.0,37425.0
2011-10-27,34011.0,61944.0
2011-10-28,36813.0,64215.0
2011-10-31,29592.0,108124.0
2011-11-01,44003.0,70264.0
2011-11-02,37021.0,105449.0
2011-11-03,91691.0,246947.0
2011-11-04,113830.0,275844.0
2011-11-07,44716.0,155176.0
2011-11-08,22563.0,101440.0
2011-11-09,29742.0,73072.0
2011-11-10,25841.0,58496.0
2011-11-11,161667.0,293058.0
2011-11-14,53117.0,116695.0
2011-11-15,38725.0,91820.0
2011-11-16,68862.0,107867.0
2011-11-17,64609.0,127651.0
2011-11-18,34464.0,77668.0
2011-11-21,33700.0,100060.0
2011-11-22,39075.0,91605.0
2011-11-23,18264.0,29464.0
2011-11-25,9199.0,13425.0
2011-11-28,26530.0,52998.0
2011-11-29,27871.0,50621.0
2011-11-30,22667.0,51535.0
2011-12-01,24800.0,78148.0
2011-12-02,60886.0,102672.0
2011-12-05,52189.0,111428.0
2011-12-06,40988.0,78779.0
2011-12-07,23703.0,41819.0
2011-12-08,170181.0,308882.0
2011-12-09,43877.0,81401.0
2011-12-12,28520.0,62079.0
2011-12-13,21640.0,94269.0
2011-12-14,34946.0,86181.0
2011-12-15,25212.0,50209.0
2011-12-16,28936.0,47324.0
2011-12-19,21812.0,55216.0
2011-12-20,19621.0,56427.0
2011-12-21,54357.0,129121.0
2011-12-22,22633.0,62593.0
2011-12-23,8299.0,39930.0
2011-12-27,22400.0,46664.0
2011-12-28,31213.0,54177.0
2011-12-29,22389.0,47739.0
2011-12-30,6344.0,19204.0
2012-01-03,41958.0,62847.0
2012-01-04,13690.0,33270.0
2012-01-05,61685.0,79809.0
2012-01-06,48118.0,100921.0
2012-01-09,22203.0,46149.0
2012-01-10,50366.0,84067.0
2012-01-11,26464.0,57374.0
2012-01-12,34206.0,75219.0
2012-01-13,478321.0,653647.0
2012-01-17,223012.0,436164.0
2012-01-18,26269.0,69402.0
2012-01-19,86027.0,152485.0
2012-01-20,50926.0,90127.0
2012-01-23,22360.0,71061.0
2012-01-24,34384.0,76673.0
2012-01-25,17742.0,52797.0
2012-01-26,27827.0,77875.0
2012-01-27,22100.0,54473.0
2012-01-30,38576.0,72914.0
2012-01-31,26565.0,52006.0
2012-02-01,20862.0,35224.0
2012-02-02,24300.0,60819.0
2012-02-03,18891.0,36761.0
2012-02-06,13224.0,40179.0
2012-02-07,16649.0,44793.0
2012-02-08,18207.0,26802.0
2012-02-09,28496.0,63172.0
2012-02-10,68210.0,147335.0
2012-02-13,44488.0,92466.0
2012-02-14,107760.0,208382.0
2012-02-15,65360.0,158377.0
2012-02-16,70977.0,160557.0
2012-02-17,56567.0,89165.0
2012-02-21,38269.0,71150.0
2012-02-22,55560.0,93506.0
2012-02-23,16659.0,41665.0
2012-02-24,9461.0,59310.0
2012-02-27,21822.0,53541.0
2012-02-28,21985.0,48961.0
2012-02-29,19322.0,27213.0
2012-03-01,19890.0,35159.0
2012-03-02,10004.0,23971.0
2012-03-05,25192.0,32892.0
2012-03-06,12365.0,23332.0
2012-03-07,6658.0,23587.0
2012-03-08,8713.0,23194.0
2012-03-09,29350.0,91568.0
2012-03-12,60857.0,148697.0
2012-03-13,24286.0,52106.0
2012-03-14,20404.0,48885.0
2012-03-15,12550.0,23210.0
2012-03-16,27008.0,53106.0
2012-03-19,54507.0,83579.0
2012-03-20,32468.0,60833.0
2012-03-21,26471.0,49974.0
2012-03-22,19893.0,35015.0
2012-03-23,37006.0,70088.0
2012-03-26,60511.0,171777.0
2012-03-27,51715.0,134773.0
2012-03-28,29383.0,75197.0
2012-03-29,18226.0,49978.0
2012-03-30,14299.0,42569.0
2012-04-02,26203.0,60627.0
2012-04-03,22415.0,50876.0
2012-04-04,65305.0,285412.0
2012-04-05,22526.0,102669.0
2012-04-09,21007.0,89408.0
2012-04-10,37192.0,123233.0
2012-04-11,19751.0,66799.0
2012-04-12,55046.0,111455.0
2012-04-13,20004.0,48647.0
2012-04-16,30216.0,90533.0
2012-04-17,35281.0,128199.0
2012-04-18,17481.0,62927.0
2012-04-19,15800.0,37183.0
2012-04-20,26703.0,62610.0
2012-04-23,16102.0,51644.0
2012-04-24,23300.0,51654.0
2012-04-25,21933.0,48944.0
2012-04-26,13540.0,29674.0
2012-04-27,16671.0,30075.0
2012-04-30,15447.0,30371.0
2012-05-01,16713.0,37198.0
2012-05-02,24405.0,38275.0
2012-05-03,28131.0,64553.0
2012-05-04,65634.0,110912.0
2012-05-07,48314.0,92478.0
2012-05-08,142376.0,263391.0
2012-05-09,72780.0,187022.0
2012-05-10,213284.0,470889.0
2012-05-11,72344.0,139493.0
2012-05-14,82219.0,150332.0
2012-05-15,61765.0,136240.0
2012-05-16,54618.0,118733.0
2012-05-17,33973.0,81774.0
2012-05-18,47829.0,133235.0
2012-05-21,37574.0,138991.0
2012-05-22,79760.0,159478.0
2012-05-23,35995.0,96505.0
2012-05-24,25154.0,64729.0
2012-05-25,34445.0,60361.0
2012-05-29,45493.0,97295.0
2012-05-30,27328.0,55764.0
2012-05-31,33500.0,73284.0
2012-06-01,30509.0,70807.0
2012-06-04,129380.0,171794.0
2012-06-05,12103.0,34042.0
2012-06-06,12000.0,48567.0
2012-06-07,9437.0,17457.0
2012-06-08,22139.0,55494.0
2012-06-11,18084.0,30723.0
2012-06-12,13190.0,30675.0
2012-06-13,26822.0,59346.0
2012-06-14,24184.0,64828.0
2012-06-15,21572.0,44684.0
2012-06-18,26337.0,68177.0
2012-06-19,17463.0,42294.0
2012-06-20,74013.0,186433.0
2012-06-21,35259.0,92381.0
2012-06-22,56132.0,114183.0
2012-06-25,28528.0,76660.0
2012-06-26,36318.0,181367.0
2012-06-27,14372.0,65011.0
2012-06-28,13907.0,56005.0
2012-06-29,17792.0,63615.0
2012-07-02,50658.0,118074.0
2012-07-03,43704.0,76687.0
2012-07-05,35997.0,99238.0
2012-07-06,34014.0,59616.0
2012-07-09,20301.0,79962.0
2012-07-10,19402.0,36056.0
2012-07-11,7640.0,28656.0
2012-07-12,38573.0,92348.0
2012-07-13,33037.0,71842.0
2012-07-16,57830.0,103071.0
2012-07-17,73668.0,200197.0
2012-07-18,113104.0,236948.0
2012-07-19,45815.0,73249.0
2012-07-20,60852.0,125618.0
2012-07-23,39033.0,82142.0
2012-07-24,70851.0,103257.0
2012-07-25,117259.0,211784.0
2012-07-26,75633.0,154023.0
2012-07-27,47583.0,101237.0
2012-07-30,93368.0,137564.0
2012-07-31,48680.0,103090.0
2012-08-01,45198.0,105808.0
2012-08-02,28054.0,79981.0
2012-08-03,44812.0,117640.0
2012-08-06,23986.0,79581.0
2012-08-07,29887.0,132630.0
2012-08-08,23295.0,73380.0
2012-08-09,20083.0,65403.0
2012-08-10,4400.0,21940.0
2012-08-13,13659.0,44506.0
2012-08-14,13293.0,59952.0
2012-08-15,8789.0,31440.0
2012-08-16,5168.0,33234.0
2012-08-17,9932.0,25460.0
2012-08-20,23699.0,59658.0
2012-08-21,22096.0,82989.0
2012-08-22,12928.0,54848.0
2012-08-23,48927.0,131009.0
2012-08-24,94355.0,158619.0
2012-08-27,76067.0,147831.0
2012-08-28,65761.0,125536.0
2012-08-29,26019.0,50891.0
2012-08-30,23308.0,43074.0
2012-08-31,8958.0,21853.0
2012-09-04,20885.0,41268.0
2012-09-05,17481.0,36235.0
2012-09-06,24834.0,81904.0
2012-09-07,30708.0,76753.0
2012-09-10,25161.0,61097.0
2012-09-11,30570.0,66307.0
2012-09-12,59474.0,96273.0
2012-09-13,81072.0,151941.0
2012-09-14,70287.0,186448.0
2012-09-17,98485.0,231151.0
2012-09-18,37323.0,125787.0
2012-09-19,16805.0,50904.0
2012-09-20,11147.0,36324.0
2012-09-21,28059.0,99586.0
2012-09-24,49995.0,121480.0
2012-09-25,146195.0,308360.0
2012-09-26,18449.0,91550.0
2012-09-27,22900.0,81519.0
2012-09-28,107416.0,395571.0
2012-10-01,12751.0,55303.0
2012-10-02,13120.0,33397.0
2012-10-03,22534.0,67437.0
2012-10-04,40589.0,76696.0
2012-10-05,8490.0,26498.0
2012-10-08,22906.0,54637.0
2012-10-09,69992.0,103359.0
2012-10-10,22180.0,34234.0
2012-10-11,30048.0,40470.0
2012-10-12,25378.0,45794.0
2012-10-15,20074.0,68572.0
2012-10-16,13453.0,28266.0
2012-10-17,9817.0,27564.0
2012-10-18,16831.0,32779.0
2012-10-19,18315.0,51134.0
2012-10-22,11186.0,20683.0
2012-10-23,10231.0,23373.0
2012-10-24,26600.0,45324.0
2012-10-25,10500.0,23868.0
2012-10-26,27531.0,40143.0
2012-10-31,19874.0,51930.0
2012-11-01,14400.0,49145.0
2012-11-02,23961.0,57976.0
